rank,design,patch,iface_score,hot_heavy,heavy5,binder_iface_res,ns1_iface_res,mind,mpnn_score,seq_recovery
317,P1_49_d1,P1,-0.560396444655797,61,8,5,5,4.37,1.1793,0.0267
318,P2_28_d1,P2,-0.5725862312326427,182,3,2,2,4.69,1.2131,0.0133
319,P2_92_d2,P2,-0.574141095516952,132,2,2,1,4.67,1.0912,0.0267
320,P1_58_d2,P1,-0.5839530839145141,61,8,3,3,3.63,1.0653,0.0133
321,P1_85_d2,P1,-0.5869971271734791,48,8,3,2,3.8,1.0379,0.0
322,P1_85_d1,P1,-0.5954732139503977,48,8,3,2,3.8,1.0428,0.0
323,P1_25_d1,P1,-0.5967702291845056,89,14,4,4,4.37,1.2632,0.0133
324,P1_42_d2,P1,-0.6079815443259139,105,19,4,3,4.02,1.3588,0.0
325,P1_31_d2,P1,-0.6086877761611442,61,10,4,4,4.22,1.1647,0.0
326,P1_58_d1,P1,-0.6131869342267443,61,8,3,3,3.63,1.0822,0.0133
327,P2_18_d2,P2,-0.6186865870178656,138,0,0,0,5.02,0.9815,0.0533
328,P2_13_d1,P2,-0.6673625042516669,166,1,1,1,4.74,1.1469,0.0267
329,P1_51_d2,P1,-0.678080418723616,122,16,2,2,3.67,1.2779,0.0533
330,P1_84_d1,P1,-0.6896111926246171,55,18,5,4,3.47,1.347,0.0133
331,P1_60_d1,P1,-0.6963021660816981,52,13,4,4,3.75,1.2271,0.0133
332,P1_5_d2,P1,-0.697509993106122,81,10,3,4,3.99,1.1971,0.0533
333,P2_84_d1,P2,-0.7072979695998536,157,3,2,2,4.69,1.2349,0.0133
334,P1_96_d1,P1,-0.7086079012115446,88,12,2,2,3.92,1.1767,0.0
335,P1_31_d1,P1,-0.710227836121375,61,10,4,4,4.22,1.2234,0.0133
336,P2_84_d2,P2,-0.7377426894516431,157,3,2,2,4.69,1.2525,0.0133
337,P2_70_d2,P2,-0.7395187863439294,160,0,0,0,5.13,1.1007,0.0267
338,P1_60_d2,P1,-0.7412773204082059,52,13,4,4,3.75,1.2531,0.0267
339,P1_25_d2,P1,-0.7465720893643351,89,14,4,4,4.37,1.3498,0.04
340,P1_68_d1,P1,-0.7487496502769102,90,10,2,2,3.72,1.1831,0.0267
341,P1_49_d2,P1,-0.7594979932319906,61,8,5,5,4.37,1.2944,0.0267
342,P1_61_d2,P1,-0.7602610221326007,113,11,3,4,4.02,1.3158,0.0
343,P1_48_d1,P1,-0.7672509464974264,67,18,5,6,3.35,1.4188,0.0
344,P1_40_d1,P1,-0.7717864494325473,49,15,4,5,3.97,1.2853,0.0
345,P2_70_d1,P2,-0.7834560524936717,160,0,0,0,5.13,1.1261,0.0267
346,P1_33_d2,P1,-0.7856370252865978,81,9,3,3,4.61,1.2374,0.0133
347,P1_96_d2,P1,-0.8174131784091343,88,12,2,2,3.92,1.2396,0.0
348,P1_62_d2,P1,-0.8231110647756922,49,1,1,1,4.94,0.9745,0.0267
349,P1_17_d2,P1,-0.8289568480548115,80,9,3,3,4.19,1.2602,0.0267
350,P1_68_d2,P1,-0.8393918843811026,90,10,2,2,3.72,1.2355,0.0267
351,P1_17_d1,P1,-0.8405465993620269,80,9,3,3,4.19,1.2669,0.0133
352,P1_61_d1,P1,-0.8521141257763529,113,11,3,4,4.02,1.3689,0.0133
353,P2_10_d2,P2,-0.8646044314858,184,1,1,1,4.84,1.3013,0.0133
354,P2_10_d1,P2,-0.8780969777837524,184,1,1,1,4.84,1.3091,0.0133
355,P1_42_d1,P1,-0.9153694260113145,105,19,4,3,4.02,1.5365,0.0133
356,P1_40_d2,P1,-0.9157069432773719,49,15,4,5,3.97,1.3685,0.0
357,P1_48_d2,P1,-0.9262208189053516,67,18,5,6,3.35,1.5107,0.0133
358,P1_29_d1,P1,-0.9337405299571148,97,13,4,3,4.18,1.4653,0.0
359,P1_79_d2,P1,-0.9429179384339548,19,10,3,1,3.94,1.1999,0.04
360,P1_62_d1,P1,-0.96270702455066,49,1,1,1,4.94,1.0552,0.0267
361,P1_83_d2,P1,-0.9716666739628818,75,3,2,2,4.68,1.2038,0.0133
362,P1_6_d1,P1,-0.9978186457794903,53,6,1,2,4.29,1.1377,0.0267
363,P1_83_d1,P1,-0.9998626360983461,75,3,2,2,4.68,1.2201,0.0133
364,P1_63_d2,P1,-1.0173781927691552,83,8,2,2,3.98,1.3014,0.0267
365,P1_0_d2,P1,-1.0246203561994582,89,9,3,2,4.39,1.3935,0.0
366,P1_10_d2,P1,-1.0339352794207302,104,2,2,1,4.96,1.2942,0.0533
367,P1_90_d1,P1,-1.0476442415456675,70,7,3,2,4.05,1.3429,0.0267
368,P1_63_d1,P1,-1.048514838072122,83,8,2,2,3.98,1.3194,0.0133
369,P1_66_d1,P1,-1.054390178589564,94,13,2,3,3.68,1.4007,0.0267
370,P1_69_d2,P1,-1.0816201285685214,85,14,2,3,3.87,1.4069,0.0133
371,P1_39_d1,P1,-1.0949410601257312,83,3,1,1,4.78,1.2292,0.0933
372,P1_90_d2,P1,-1.1114743644167495,70,7,3,2,4.05,1.3798,0.0267
373,P1_10_d1,P1,-1.11350670630609,104,2,2,1,4.96,1.3402,0.0667
374,P1_66_d2,P1,-1.1230637796188851,94,13,2,3,3.68,1.4404,0.0133
375,P1_74_d1,P1,-1.1279681316254533,69,5,3,3,4.67,1.3658,0.0
376,P1_54_d2,P1,-1.1286837381950476,95,11,2,2,3.98,1.4246,0.0267
377,P1_26_d2,P1,-1.1286998369097079,86,4,2,1,4.51,1.3299,0.0
378,P1_33_d1,P1,-1.1357513035821807,81,9,3,3,4.61,1.4398,0.0133
379,P1_79_d1,P1,-1.1357921579495551,19,10,3,1,3.94,1.3114,0.04
380,P1_41_d1,P1,-1.1454994768584168,72,4,1,1,4.21,1.2444,0.0133
381,P1_30_d1,P1,-1.1835407531302464,80,5,3,2,4.59,1.4226,0.0133
382,P1_0_d1,P1,-1.1934501662866566,89,9,3,2,4.39,1.4911,0.0
383,P1_54_d1,P1,-1.1938977119684835,95,11,2,2,3.98,1.4623,0.0267
384,P1_26_d1,P1,-1.1947787174971154,86,4,2,1,4.51,1.3681,0.0
385,P1_39_d2,P1,-1.1950972691836077,83,3,1,1,4.78,1.2871,0.0533
386,P1_93_d1,P1,-1.208784494786549,5,4,1,2,4.34,1.1307,0.0133
387,P1_69_d1,P1,-1.2123940388409822,85,14,2,3,3.87,1.4825,0.0133
388,P1_41_d2,P1,-1.2250709037437768,72,4,1,1,4.21,1.2904,0.0133
389,P1_93_d2,P1,-1.2603329408992388,5,4,1,2,4.34,1.1605,0.0133
390,P1_38_d2,P1,-1.2971187221954974,64,10,3,3,3.65,1.5056,0.0
391,P1_38_d1,P1,-1.3042109580700618,64,10,3,3,3.65,1.5097,0.0267
392,P1_6_d2,P1,-1.314374539692987,53,6,1,2,4.29,1.3207,0.0267
393,P1_44_d1,P1,-1.3278333471708086,79,6,1,2,4.09,1.3868,0.0133
394,P1_44_d2,P1,-1.335444527133756,79,6,1,2,4.09,1.3912,0.0267
395,P1_74_d2,P1,-1.3417730960391594,69,5,3,3,4.67,1.4894,0.0
396,P1_30_d2,P1,-1.3828152830692342,80,5,3,2,4.59,1.5378,0.0133
397,P1_70_d2,P1,-1.561080053158196,57,4,1,1,4.22,1.451,0.0133
398,P1_86_d1,P1,-1.6148366893879247,47,3,1,1,4.48,1.449,0.0667
399,P1_86_d2,P1,-1.6298860679510252,47,3,1,1,4.48,1.4577,0.0133
400,P1_70_d1,P1,-1.7681387444229255,57,4,1,1,4.22,1.5707,0.0533
